name,salary,salary_clean
Player-159,"$14,164,770.92",14164770.92
Player-160,"$582,974.50",582974.5
Player-161,"$9,654,652.02",9654652.02
Player-162,"$12,800,384.92",12800384.92
Player-163,"$41,796,432.69",41796432.69
Player-164,"$47,385,463.02",47385463.02
Player-165,"$18,689,599.95",18689599.95
Player-166,"$16,666,103.72",16666103.72
Player-167,"$8,700,925.08",8700925.08
Player-168,"$20,591,884.14",20591884.14
Player-169,"$46,859,186.90",46859186.9
Player-170,"$38,672,734.05",38672734.05
Player-171,"$14,710,401.11",14710401.11
Player-172,"$14,335,640.14",14335640.14
Player-173,"$11,865,268.98",11865268.98
Player-174,"$26,027,028.59",26027028.59
Player-175,"$11,234,921.03",11234921.03
Player-176,"$2,075,707.36",2075707.36
Player-177,"$23,907,823.27",23907823.27
Player-178,"$5,645,733.03",5645733.03
Player-179,"$22,690,830.68",22690830.68
Player-180,"$47,516,811.86",47516811.86
Player-181,"$49,268,569.52",49268569.52
Player-182,"$7,707,211.57",7707211.57
Player-183,"$43,361,983.82",43361983.82
Player-184,"$29,419,250.77",29419250.77
Player-185,"$44,038,937.41",44038937.41
Player-186,"$17,073,012.84",17073012.84
Player-187,"$22,011,367.85",22011367.85
Player-188,"$3,121,972.48",3121972.48
Player-189,"$17,884,923.10",17884923.1
Player-190,"$11,687,829.12",11687829.12
Player-191,"$15,361,931.47",15361931.47
Player-192,"$22,507,986.75",22507986.75
Player-193,"$6,391,218.65",6391218.65
Player-194,"$47,946,464.10",47946464.1
Player-195,"$42,904,621.40",42904621.4
Player-196,"$22,184,486.31",22184486.31
Player-197,"$21,011,163.35",21011163.35
Player-198,"$20,379,911.64",20379911.64
Player-199,"$1,224,043.63",1224043.63
Player-200,"$7,622,407.65",7622407.65
Player-201,"$41,801,682.17",41801682.17
Player-202,"$48,133,629.62",48133629.62
Player-203,"$27,930,928.73",27930928.73
Player-204,"$23,423,405.02",23423405.02
Player-205,"$23,639,856.83",23639856.83
Player-206,"$2,816,002.79",2816002.79
Player-207,"$30,302,768.69",30302768.69
Player-208,"$9,639,060.48",9639060.48
Player-209,"$4,406,739.65",4406739.65
Player-210,"$17,985,343.44",17985343.44
Player-211,"$33,584,902.64",33584902.64
Player-212,"$38,297,880.79",38297880.79
Player-213,"$33,031,484.71",33031484.71
Player-214,"$35,501,894.72",35501894.72
Player-215,"$44,125,632.01",44125632.01
Player-216,"$12,977,214.42",12977214.42
Player-217,"$46,083,980.11",46083980.11
Player-218,"$19,996,163.96",19996163.96
Player-219,"$3,339,667.47",3339667.47
Player-220,"$10,476,897.83",10476897.83
Player-221,"$13,585,584.87",13585584.87
Player-222,"$11,298,913.30",11298913.3
Player-223,"$1,483,310.88",1483310.88
Player-224,"$44,385,812.58",44385812.58
Player-225,"$33,062,215.53",33062215.53
Player-226,"$21,176,137.00",21176137.0
Player-227,"$18,666,245.36",18666245.36
Player-228,"$24,578,916.25",24578916.25
Player-229,"$9,055,449.20",9055449.2
Player-230,"$1,403,586.51",1403586.51
Player-231,"$26,569,138.66",26569138.66
Player-232,"$20,773,664.97",20773664.97
Player-233,"$43,735,928.99",43735928.99
Player-234,"$22,673,288.44",22673288.44
Player-235,"$44,415,046.43",44415046.43
Player-236,"$36,550,090.13",36550090.13
Player-237,"$1,551,742.19",1551742.19
Player-238,"$38,381,063.42",38381063.42
Player-239,"$31,253,083.37",31253083.37
Player-240,"$37,478,454.54",37478454.54
Player-241,"$3,791,888.07",3791888.07
Player-242,"$11,045,919.98",11045919.98
Player-243,"$33,526,666.87",33526666.87
Player-244,"$5,871,235.03",5871235.03
Player-245,"$36,812,820.57",36812820.57
Player-246,"$26,091,465.85",26091465.85
Player-247,"$4,202,049.13",4202049.13
Player-248,"$5,277,812.82",5277812.82
Player-249,"$33,068,504.99",33068504.99
Player-250,"$44,318,770.66",44318770.66
Player-251,"$49,591,712.72",49591712.72
Player-252,"$8,883,052.58",8883052.58
Player-253,"$41,183,801.99",41183801.99
Player-254,"$42,697,224.75",42697224.75
Player-255,"$8,526,684.96",8526684.96
Player-256,"$36,497,431.04",36497431.04
Player-257,"$2,032,399.96",2032399.96
Player-258,"$5,908,140.33",5908140.33
Player-259,"$21,007,370.02",21007370.02
Player-260,"$15,558,212.36",15558212.36
Player-261,"$18,834,335.59",18834335.59
Player-262,"$39,587,987.42",39587987.42
Player-263,"$30,452,249.02",30452249.02
Player-264,"$43,951,750.55",43951750.55
Player-265,"$12,584,803.41",12584803.41
Player-266,"$30,377,856.17",30377856.17
Player-267,"$8,397,187.12",8397187.12
Player-268,"$45,101,145.74",45101145.74
Player-269,"$5,687,785.05",5687785.05
Player-270,"$49,576,440.55",49576440.55
Player-271,"$15,519,046.52",15519046.52
Player-272,"$26,001,098.07",26001098.07
Player-273,"$31,842,408.50",31842408.5
Player-274,"$34,069,217.15",34069217.15
Player-275,"$31,267,048.08",31267048.08
Player-276,"$47,240,929.70",47240929.7
Player-277,"$49,187,448.93",49187448.93
Player-278,"$32,509,216.53",32509216.53
Player-279,"$42,394,021.95",42394021.95
Player-280,"$12,358,967.47",12358967.47
Player-281,"$36,367,212.97",36367212.97
Player-282,"$36,323,163.16",36323163.16
Player-283,"$25,278,399.92",25278399.92
Player-284,"$26,845,910.89",26845910.89
Player-285,"$45,620,100.70",45620100.7
Player-286,"$4,129,565.90",4129565.9
Player-287,"$6,583,800.03",6583800.03
Player-288,"$15,296,992.97",15296992.97
Player-289,"$28,308,815.51",28308815.51
Player-290,"$36,374,185.60",36374185.6
Player-291,"$47,804,947.44",47804947.44
Player-292,"$27,806,996.62",27806996.62
Player-293,"$37,294,553.94",37294553.94
Player-294,"$31,086,092.40",31086092.4
Player-295,"$17,263,199.83",17263199.83
Player-296,"$46,008,002.68",46008002.68
Player-297,"$1,894,045.97",1894045.97
Player-298,"$29,067,975.15",29067975.15
Player-299,"$27,044,799.09",27044799.09
Player-300,"$1,754,945.01",1754945.01
Player-301,"$29,615,254.89",29615254.89
Player-302,"$49,913,028.51",49913028.51
Player-303,"$22,550,405.00",22550405.0
Player-304,"$34,954,446.34",34954446.34
Player-305,"$5,678,737.29",5678737.29
Player-306,"$36,965,452.22",36965452.22
Player-307,"$14,164,514.19",14164514.19
Player-308,"$6,973,880.65",6973880.65
Player-309,"$37,233,271.29",37233271.29
Player-310,"$25,340,209.01",25340209.01
Player-311,"$35,550,333.66",35550333.66
Player-312,"$18,980,732.39",18980732.39
Player-313,"$7,986,622.70",7986622.7
Player-314,"$16,778,115.89",16778115.89
Player-315,"$23,599,823.55",23599823.55
Player-316,"$35,067,147.27",35067147.27
Player-317,"$10,954,448.24",10954448.24
Player-318,"$9,733,176.89",9733176.89
Player-319,"$7,333,057.05",7333057.05
Player-320,"$48,482,831.86",48482831.86
Player-321,"$43,167,441.20",43167441.2
Player-322,"$18,586,410.73",18586410.73
Player-323,"$28,774,236.16",28774236.16
Player-324,"$2,203,908.89",2203908.89
Player-325,"$9,003,139.60",9003139.6
Player-326,"$41,297,333.81",41297333.81
Player-327,"$21,500,815.83",21500815.83
Player-328,"$5,324,680.41",5324680.41
Player-329,"$6,601,295.00",6601295.0
Player-330,"$17,015,848.87",17015848.87
Player-331,"$43,116,566.41",43116566.41
Player-332,"$43,699,451.02",43699451.02
Player-333,"$18,845,378.36",18845378.36
Player-334,"$43,987,973.65",43987973.65
Player-335,"$26,633,432.62",26633432.62
Player-336,"$46,848,188.40",46848188.4
Player-337,"$49,950,704.44",49950704.44
Player-338,"$14,595,492.72",14595492.72
Player-339,"$42,971,506.59",42971506.59
Player-340,"$20,824,771.57",20824771.57
Player-341,"$26,514,931.08",26514931.08
Player-342,"$31,269,340.95",31269340.95
Player-343,"$47,573,514.15",47573514.15
Player-344,"$35,860,438.76",35860438.76
Player-345,"$15,146,834.06",15146834.06
Player-346,"$46,837,325.08",46837325.08
Player-347,"$8,331,535.33",8331535.33
Player-348,"$46,865,166.61",46865166.61
Player-349,"$38,698,013.55",38698013.55
Player-350,"$44,188,198.74",44188198.74
Player-351,"$20,166,390.37",20166390.37
Player-352,"$40,973,249.51",40973249.51
Player-353,"$39,612,395.57",39612395.57
Player-354,"$12,279,165.76",12279165.76
Player-355,"$8,027,516.48",8027516.48
Player-356,"$40,009,829.34",40009829.34
Player-357,"$8,589,465.51",8589465.51
Player-358,"$18,741,718.08",18741718.08
Player-359,"$19,604,597.81",19604597.81
Player-360,"$9,442,270.63",9442270.63
Player-361,"$31,484,549.16",31484549.16
Player-362,"$38,541,777.49",38541777.49
Player-363,"$29,592,179.36",29592179.36
Player-364,"$23,319,920.36",23319920.36
Player-365,"$44,845,949.89",44845949.89
Player-366,"$8,315,279.72",8315279.72
Player-367,"$4,284,315.85",4284315.85
Player-368,"$29,931,656.26",29931656.26
Player-369,"$49,955,759.66",49955759.66
Player-370,"$36,369,525.68",36369525.68
Player-371,"$17,567,821.00",17567821.0
Player-372,"$21,584,302.95",21584302.95
Player-373,"$18,771,119.21",18771119.21
Player-374,"$27,546,812.14",27546812.14
Player-375,"$26,784,253.01",26784253.01
Player-376,"$9,908,365.95",9908365.95
Player-377,"$33,658,849.23",33658849.23
Player-378,"$14,426,802.01",14426802.01
Player-379,"$18,102,451.53",18102451.53
Player-380,"$43,982,613.93",43982613.93
Player-381,"$35,120,513.34",35120513.34
Player-382,"$31,044,870.63",31044870.63
Player-383,"$45,980,939.95",45980939.95
Player-384,"$5,720,806.29",5720806.29
Player-385,"$9,249,870.09",9249870.09
Player-386,"$40,198,952.64",40198952.64
Player-387,"$44,888,460.58",44888460.58
Player-388,"$18,264,510.40",18264510.4
Player-389,"$5,101,133.93",5101133.93
Player-390,"$17,239,491.45",17239491.45
Player-391,"$10,284,940.71",10284940.71
Player-392,"$6,140,034.95",6140034.95
Player-393,"$30,968,850.63",30968850.63
Player-394,"$41,102,621.93",41102621.93
Player-395,"$5,962,304.58",5962304.58
Player-396,"$45,187,353.33",45187353.33
Player-397,"$25,208,852.41",25208852.41
Player-398,"$13,543,656.04",13543656.04
Player-399,"$8,458,094.58",8458094.58
Player-400,"$11,332,251.77",11332251.77
Player-401,"$26,989,237.75",26989237.75
Player-402,"$10,538,611.80",10538611.8
Player-403,"$461,247.09",461247.09
Player-404,"$49,045,954.47",49045954.47
Player-405,"$22,977,458.40",22977458.4
Player-406,"$46,827,267.79",46827267.79
Player-407,"$4,898,233.31",4898233.31
Player-408,"$20,046,050.75",20046050.75
Player-409,"$34,972,103.53",34972103.53
Player-410,"$7,301,526.40",7301526.4
Player-411,"$34,295,750.19",34295750.19
Player-412,"$12,974,499.33",12974499.33
Player-413,"$15,223,448.22",15223448.22
Player-414,"$46,924,881.68",46924881.68
Player-415,"$46,129,763.97",46129763.97
Player-416,"$35,952,547.78",35952547.78
Player-417,"$12,540,841.51",12540841.51
Player-418,"$33,162,299.89",33162299.89
Player-419,"$35,406,126.88",35406126.88
Player-420,"$40,450,501.97",40450501.97
Player-421,"$24,790,601.03",24790601.03
Player-422,"$37,368,107.81",37368107.81
Player-423,"$34,273,171.74",34273171.74
Player-424,"$44,283,252.22",44283252.22
Player-425,"$2,380,419.60",2380419.6
Player-426,"$38,347,314.33",38347314.33
Player-427,"$34,611,362.74",34611362.74
Player-428,"$46,727,415.16",46727415.16
Player-429,"$25,473,925.27",25473925.27
Player-430,"$25,886,027.52",25886027.52
Player-431,"$46,674,031.69",46674031.69
Player-432,"$2,330,394.04",2330394.04
Player-433,"$9,224,785.58",9224785.58
Player-434,"$44,824,356.33",44824356.33
Player-435,"$34,045,685.48",34045685.48
Player-436,"$32,112,099.07",32112099.07
Player-437,"$31,089,914.79",31089914.79
Player-438,"$6,658,793.12",6658793.12
Player-439,"$21,713,612.74",21713612.74
Player-440,"$48,839,870.50",48839870.5
Player-441,"$8,941,095.76",8941095.76
Player-442,"$16,767,677.12",16767677.12
Player-443,"$16,788,985.91",16788985.91
Player-444,"$9,410,411.46",9410411.46
Player-445,"$33,102,267.63",33102267.63
Player-446,"$7,387,970.34",7387970.34
Player-447,"$28,765,702.25",28765702.25
Player-448,"$38,816,509.18",38816509.18
Player-449,"$17,450,947.52",17450947.52
Player-450,"$42,581,613.83",42581613.83
Player-451,"$39,059,404.62",39059404.62
Player-452,"$37,359,222.12",37359222.12
Player-453,"$23,610,087.62",23610087.62
Player-454,"$21,834,967.72",21834967.72
Player-455,"$21,607,673.95",21607673.95
Player-456,"$12,389,084.61",12389084.61
Player-457,"$46,068,818.47",46068818.47
Player-458,"$4,259,444.15",4259444.15
Player-459,"$36,749,582.15",36749582.15
Player-460,"$37,378,727.08",37378727.08
Player-461,"$7,837,025.53",7837025.53
Player-462,"$35,831,667.26",35831667.26
Player-463,"$43,923,311.29",43923311.29
Player-464,"$31,869,551.50",31869551.5
Player-465,"$19,223,913.07",19223913.07
Player-466,"$6,389,725.06",6389725.06
Player-467,"$45,202,893.15",45202893.15
Player-468,"$42,161,282.47",42161282.47
Player-469,"$31,769,222.76",31769222.76
Player-470,"$1,093,808.91",1093808.91
Player-471,"$36,738,751.34",36738751.34
Player-472,"$36,852,432.28",36852432.28
Player-473,"$36,656,449.83",36656449.83
Player-474,"$22,189,988.41",22189988.41
Player-475,"$16,277,609.33",16277609.33
Player-476,"$28,439,450.12",28439450.12
Player-477,"$31,449,241.15",31449241.15
Player-478,"$39,733,023.59",39733023.59
Player-479,"$49,272,018.45",49272018.45
Player-480,"$26,158,748.23",26158748.23
Player-481,"$21,602,096.19",21602096.19
Player-482,"$26,176,446.92",26176446.92
Player-483,"$26,987,260.78",26987260.78
Player-484,"$38,141,003.55",38141003.55
Player-485,"$42,722,723.34",42722723.34
Player-486,"$1,975,657.00",1975657.0
Player-487,"$5,348,069.86",5348069.86
Player-488,"$18,944,971.08",18944971.08
Player-489,"$18,035,727.88",18035727.88
Player-490,"$38,861,230.93",38861230.93
Player-491,"$43,276,085.00",43276085.0
Player-492,"$8,010,585.71",8010585.71
Player-493,"$28,070,918.31",28070918.31
Player-494,"$45,862,857.50",45862857.5
Player-495,"$11,823,252.85",11823252.85
Player-496,"$26,637,428.38",26637428.38
Player-497,"$39,928,102.63",39928102.63
Player-498,"$40,722,232.19",40722232.19
Player-499,"$28,043,611.70",28043611.7
Player-500,"$9,134,121.96",9134121.96
Player-501,"$5,607,998.38",5607998.38
Player-502,"$22,603,847.82",22603847.82
Player-503,"$29,075,322.65",29075322.65
Player-504,"$31,092,402.67",31092402.67
Player-505,"$6,076,556.75",6076556.75
Player-506,"$11,555,434.58",11555434.58
Player-507,"$859,522.52",859522.52
Player-508,"$48,594,198.17",48594198.17
Player-509,"$11,128,731.68",11128731.68
Player-510,"$16,706,112.45",16706112.45
Player-511,"$10,959,989.01",10959989.01
Player-512,"$17,278,751.78",17278751.78
Player-513,"$43,183,247.54",43183247.54
Player-514,"$20,791,265.52",20791265.52
Player-515,"$38,314,575.05",38314575.05
Player-516,"$1,915,644.60",1915644.6
Player-517,"$13,350,815.51",13350815.51
Player-518,"$26,388,825.23",26388825.23
Player-519,"$35,365,420.14",35365420.14
Player-520,"$24,222,694.71",24222694.71
Player-521,"$44,355,856.15",44355856.15
Player-522,"$39,811,527.98",39811527.98
Player-523,"$20,695,554.78",20695554.78
Player-524,"$40,047,613.08",40047613.08
Player-525,"$48,137,366.42",48137366.42
Player-526,"$33,034,382.09",33034382.09
Player-527,"$34,155,103.27",34155103.27
Player-528,"$36,777,517.32",36777517.32
Player-529,"$4,627,903.55",4627903.55
Player-530,"$10,778,152.73",10778152.73
Player-531,"$20,127,028.16",20127028.16
Player-532,"$32,450,953.59",32450953.59
Player-533,"$33,092,032.20",33092032.2
Player-534,"$14,763,653.61",14763653.61
Player-535,"$30,094,393.40",30094393.4
Player-536,"$21,109,202.54",21109202.54
Player-537,"$7,723,270.35",7723270.35
Player-538,"$43,457,509.01",43457509.01
Player-539,"$14,733,540.43",14733540.43
Player-540,"$4,998,223.52",4998223.52
Player-541,"$6,630,992.12",6630992.12
Player-542,"$3,628,646.58",3628646.58
Player-543,"$7,281,892.50",7281892.5
Player-544,"$14,553,987.93",14553987.93
Player-545,"$36,373,610.23",36373610.23
Player-546,"$29,252,232.95",29252232.95
Player-547,"$35,126,601.65",35126601.65
Player-548,"$27,124,613.25",27124613.25
Player-549,"$33,321,533.44",33321533.44
Player-550,"$30,757,475.74",30757475.74
Player-551,"$5,660,833.11",5660833.11
Player-552,"$42,269,816.94",42269816.94
Player-553,"$9,590,543.54",9590543.54
Player-554,"$36,667,315.16",36667315.16
Player-555,"$37,205,360.87",37205360.87
Player-556,"$33,831,872.66",33831872.66
Player-557,"$30,450,291.16",30450291.16
Player-558,"$321,417.86",321417.86
Player-559,"$11,023,920.32",11023920.32
Player-560,"$16,494,428.49",16494428.49
Player-561,"$42,221,660.70",42221660.7
Player-562,"$16,992,090.85",16992090.85
Player-563,"$5,301,222.02",5301222.02
Player-564,"$13,882,632.75",13882632.75
Player-565,"$8,264,394.85",8264394.85
Player-566,"$44,218,307.62",44218307.62
Player-567,"$6,420,133.26",6420133.26
Player-568,"$28,581,993.63",28581993.63
Player-569,"$21,456,185.48",21456185.48
Player-570,"$22,654,348.51",22654348.51
Player-571,"$44,728,505.44",44728505.44
Player-572,"$40,421,657.59",40421657.59
Player-573,"$8,424,518.47",8424518.47
Player-574,"$28,939,503.92",28939503.92
Player-575,"$29,962,502.66",29962502.66
Player-576,"$48,690,893.94",48690893.94
Player-577,"$16,003,634.91",16003634.91
Player-578,"$19,575,245.49",19575245.49
Player-579,"$46,105,458.68",46105458.68
Player-580,"$21,814,773.00",21814773.0
Player-581,"$24,894,098.94",24894098.94
Player-582,"$29,979,143.63",29979143.63
Player-583,"$38,309,019.34",38309019.34
Player-584,"$16,620,451.14",16620451.14
Player-585,"$22,919,900.27",22919900.27
Player-586,"$49,304,466.49",49304466.49
Player-587,"$49,629,752.57",49629752.57
Player-588,"$20,394,856.89",20394856.89
Player-589,"$17,140,290.22",17140290.22
Player-590,"$43,412,132.32",43412132.32
Player-591,"$20,878,083.74",20878083.74
Player-592,"$47,191,455.26",47191455.26
Player-593,"$270,297.85",270297.85
Player-594,"$35,041,289.65",35041289.65
Player-595,"$46,655,901.87",46655901.87
Player-596,"$5,727,262.54",5727262.54
Player-597,"$12,343,769.07",12343769.07
Player-598,"$17,315,395.98",17315395.98
Player-599,"$48,073,734.38",48073734.38
Player-600,"$18,548,606.15",18548606.15
Player-601,"$34,618,614.17",34618614.17
Player-602,"$13,126,507.82",13126507.82
Player-603,"$8,448,801.13",8448801.13
Player-604,"$32,256,605.21",32256605.21
Player-605,"$49,905,085.94",49905085.94
Player-606,"$21,607,444.11",21607444.11
Player-607,"$7,664,612.78",7664612.78
Player-608,"$12,521,534.23",12521534.23
Player-609,"$7,156,162.62",7156162.62
Player-610,"$46,918,719.28",46918719.28
Player-611,"$1,109,018.95",1109018.95
Player-612,"$30,408,623.44",30408623.44
Player-613,"$31,822,797.92",31822797.92
Player-614,"$6,695,402.57",6695402.57
Player-615,"$17,162,581.95",17162581.95
Player-616,"$44,406,004.97",44406004.97
Player-617,"$19,197,027.22",19197027.22
Player-618,"$17,740,122.90",17740122.9
Player-619,"$23,685,792.39",23685792.39
Player-620,"$34,129,222.81",34129222.81
Player-621,"$4,206,134.91",4206134.91
Player-622,"$48,673,574.67",48673574.67
Player-623,"$32,282,445.46",32282445.46
Player-624,"$45,494,944.90",45494944.9
Player-625,"$10,361,090.05",10361090.05
Player-626,"$22,100,996.52",22100996.52
Player-627,"$15,338,839.43",15338839.43
Player-628,"$43,163,261.54",43163261.54
Player-629,"$39,862,192.40",39862192.4
Player-630,"$25,144,713.36",25144713.36
Player-631,"$31,748,633.63",31748633.63
Player-632,"$25,041,223.19",25041223.19
Player-633,"$13,203,781.88",13203781.88
Player-634,"$21,300,017.35",21300017.35
Player-635,"$5,966,094.47",5966094.47
Player-636,"$30,036,113.45",30036113.45
Player-637,"$19,582,848.45",19582848.45
Player-638,"$11,012,352.69",11012352.69
Player-639,"$12,780,495.38",12780495.38
Player-640,"$12,302,776.26",12302776.26
Player-641,"$14,332,356.22",14332356.22
Player-642,"$25,876,404.88",25876404.88
Player-643,"$43,436,376.65",43436376.65
Player-644,"$22,004,725.65",22004725.65
Player-645,"$13,865,738.45",13865738.45
Player-646,"$20,114,041.99",20114041.99
Player-647,"$26,108,028.52",26108028.52
Player-648,"$11,099,052.81",11099052.81
Player-649,"$31,551,851.53",31551851.53
Player-650,"$35,611,887.68",35611887.68
Player-651,"$35,191,075.27",35191075.27
Player-652,"$26,751,116.60",26751116.6
Player-653,"$20,627,443.02",20627443.02
Player-654,"$35,039,019.49",35039019.49
Player-655,"$18,533,067.32",18533067.32
Player-656,"$32,078,000.01",32078000.01
Player-657,"$17,866,785.01",17866785.01
Player-658,"$15,954,231.62",15954231.62
Player-659,"$41,451,177.34",41451177.34
Player-660,"$21,186,181.63",21186181.63
Player-661,"$6,685,404.15",6685404.15
Player-662,"$33,990,250.56",33990250.56
Player-663,"$31,280,158.01",31280158.01
Player-664,"$3,374,055.48",3374055.48
Player-665,"$32,217,621.48",32217621.48
